bjd,rv,rv_err,instrument,bis,bis_err,fwhm,fwhm_err,halpha,halpha_err,logrhk,logrhk_err
2.4584185558442e6,-34.5538,1.198109,HARPS_POST,26.699916929367905,2.340279087433397,8.817922234539596,0.01696752310396707,0.3653827341398961,0.009751362084507203,-3.5152069243673507,0.0024998704196073735
2.4584187202782e6,-39.8776,1.152792,HARPS_POST,29.557914572144032,3.0111655754761792,8.804600014062226,0.016952984846727498,0.3678460259400841,0.009162771837880529,-3.516324284414233,0.0024998704196073735
2.4584196867754e6,-15.6806,1.073249,HARPS_POST,9.541057652924456,2.1324900960366926,8.720377790682786,0.017845250620162133,0.3571139216755947,0.007323811989075142,-3.535416750496254,0.0024998704196073735
2.4584228313146e6,35.5444,2.107008,HARPS_POST,-52.414141186881174,6.533015185907626,8.743162464218068,0.02076091327356886,0.36368445509397374,0.015612756947197022,-3.5495326504867135,0.0024998704196073735
2.4584237452095e6,-7.54548,1.338613,HARPS_POST,19.660039293550174,3.381611226331136,8.790963648224746,0.016359285306965957,0.361776049641821,0.01015479455294432,-3.53062252672345,0.0024998704196073735
2.4584297622659e6,-9.25673,1.370881,HARPS_POST,9.538737335967523,4.009794307820415,8.741930707545412,0.016240139261415952,0.35179868930539193,0.010499804353797404,-3.5466782750181913,0.0024998704196073735
2.4584307490961e6,6.71415,1.169644,HARPS_POST,-10.746581184723103,3.453161501113226,8.702794990209956,0.019495790305264393,0.35760230948084804,0.008411767360704848,-3.54551466797062,0.0024998704196073735
2.4584316779218e6,33.3725,1.548805,HARPS_POST,-31.567657012892713,3.7299303811801234,8.289544145091638,0.010231943825596898,0.35987175763385526,0.008996124402482727,-3.5367253868583792,0.0024998704196073735
2.4584326852387e6,-23.0885,1.260272,HARPS_POST,39.67302588152058,3.56811883284288,8.763768965968,0.018329371486788298,0.3578811956692309,0.008803664205180141,-3.537988518427891,0.0024998704196073735
2.4584327156374e6,-22.7104,1.427016,HARPS_POST,34.54284736517217,4.655664228054159,8.7587296787343,0.018963929418142948,0.35761629880498175,0.009834772721402386,-3.5431769785444054,0.0024998704196073735
2.458464725311e6,-2.50618,1.709094,HARPS_POST,-5.719806826033722,2.6661188351990837,8.679744223556387,0.011868462808131296,0.358607786066428,0.012462949138533278,-3.539682630092726,0.0024998704196073735
2.4584647335398e6,-2.55015,1.830138,HARPS_POST,-1.4753495407618389,2.160671169363018,8.673642154165522,0.011601344260752036,0.35777449856722565,0.013037386618263574,-3.539143481196831,0.0024998704196073735
2.458465697262e6,42.5005,1.308503,HARPS_POST,-41.562297593072,6.831504566740805,8.816181444639879,0.014961397750263582,0.36809612422276616,0.00871048509369654,-3.5306408074430995,0.0024998704196073735
2.4584657050207e6,42.1404,1.287109,HARPS_POST,-43.7368680725691,6.001730009424048,8.818023467083771,0.015877315074132516,0.36530825323968374,0.008401586983975558,-3.535466187931776,0.0024998704196073735
2.458466689463e6,-22.2681,1.643993,HARPS_POST,9.324722733550782,3.543242821697123,8.789823866256823,0.010687757213729332,0.368074842736478,0.009400224355961901,-3.527632046498926,0.0024998704196073735
2.4584666965536e6,-22.1369,1.697931,HARPS_POST,14.42462675027202,2.298742298082796,8.791397325133282,0.009792502614576957,0.3661967177698413,0.009819034228900483,-3.5307277552857785,0.0024998704196073735
2.4584816039111e6,6.02111,1.446474,HARPS_POST,-18.2921112555236,2.218261193172114,8.692356720239077,0.01147434437173585,0.36813310892832063,0.009641208396465107,-3.526870772773854,0.0024998704196073735
2.4584836064777e6,15.0514,1.233287,HARPS_POST,-22.274669217349192,2.3867378045507897,8.792211853987077,0.011325185212454176,0.36907616221775763,0.007893374296480737,-3.5199350221813486,0.0024998704196073735
2.4585095312438e6,-31.1915,1.691414,HARPS_POST,16.54246769308232,2.354338022699085,8.797301981223407,0.011629222451705213,0.37088432415614825,0.010061476749776796,-3.5324120386264983,0.0024998704196073735
2.4585095792092e6,-31.4661,1.963124,HARPS_POST,26.33856355379878,4.7702749054628795,8.78999159682086,0.011756765084864984,0.36826342885567537,0.01244717295901223,-3.5291088588661426,0.0024998704196073735
2.458509597949e6,-34.6993,1.942563,HARPS_POST,9.987799903586032,1.8845144165718541,8.789135325589953,0.011787105651195487,0.3638957913263684,0.01222754160785459,-3.5416625097433703,0.0024998704196073735
2.4585105512262e6,-35.9078,2.007333,HARPS_POST,18.693987610250055,1.373158240563455,8.700669948024027,0.012900641880968114,0.3581654706012691,0.014603749499067021,-3.5327712138035685,0.0024998704196073735
2.4585105808359e6,-35.2899,2.175762,HARPS_POST,7.446615110408603,2.6117478041124067,8.706989879971466,0.01354183348534698,0.36352993410053186,0.014730005888076004,-3.5443617054986216,0.0024998704196073735
2.4585115486733e6,41.5436,1.676845,HARPS_POST,-39.75346027815163,6.097337222969852,8.71973681752083,0.013510325770431859,0.35406520362740884,0.00958177132446159,-3.542097231730528,0.0024998704196073735
2.458511605285e6,45.7403,2.005626,HARPS_POST,-39.53487845297066,3.971263272530198,8.735771716665647,0.013218500210663817,0.3561663596706795,0.012574221988391756,-3.5516011286922606,0.0024998704196073735
2.4585125508436e6,20.9924,1.625703,HARPS_POST,-12.87791403215327,4.584000302276373,8.809868475620691,0.012044593981791488,0.369778371190005,0.009030455157030288,-3.5237603870026284,0.0024998704196073735
2.45857648052e6,1.18629,2.044121,HARPS_POST,8.01210156423346,1.1748364115160843,8.842347708795092,0.017893130459602835,0.3911469933155007,0.015222296555107838,-3.490423413978704,0.0024998704196073735
2.4585765123795e6,-2.30409,3.034643,HARPS_POST,32.592532300170795,6.210358348244907,8.8318901521163,0.02098922133963983,0.38734356789882685,0.025026384866681267,-3.5048092861107025,0.0024998704196073735
2.4585794922542e6,-43.3688,1.75148,HARPS_POST,43.29830321129852,4.7076465054416765,8.767291762055391,0.020074726874480885,0.37070283263883597,0.011737445048984434,-3.5272027241239403,0.0024998704196073735
2.4585804799731e6,19.875,1.283354,HARPS_POST,-15.675213972621338,4.008063418115079,8.71612861920344,0.019637178949811426,0.36132726510605684,0.008816123579873837,-3.536796417160489,0.0024998704196073735
2.4585814841272e6,10.4252,1.447697,HARPS_POST,-7.03004462448159,3.405341156630344,8.78347526880814,0.016827040869045375,0.3495462040701945,0.010136271622464861,-3.5501021479082095,0.0024998704196073735
2.4585824737312e6,40.5645,1.283003,HARPS_POST,-30.100898940692762,8.161603325489182,8.707444102433458,0.020716216814156904,0.37450488649154784,0.009176128781444725,-3.520571666624271,0.0024998704196073735
2.4586709336494e6,8.88064,1.482336,HARPS_POST,46.197481579996534,5.543815553370967,8.315722225895783,0.007967672062141199,0.3783498977196548,0.007630353719369466,-3.488405070704453,0.0024998704196073735
2.458673874302e6,39.5375,1.746908,HARPS_POST,-11.670579176419338,2.402438996519923,8.254976127544722,0.007922304853426923,0.36897283981936246,0.011374036020661525,-3.5224364945503157,0.0024998704196073735
2.4586749427539e6,-5.76304,1.683959,HARPS_POST,49.18036778692495,4.05100055031771,8.261747305671788,0.008836687674671816,0.37257823194641726,0.010266555748083658,-3.5070109632745616,0.0024998704196073735
2.4586848745453e6,22.3258,1.623925,HARPS_POST,13.990066215327252,3.4719901714142725,8.262143310024975,0.0077351558713708414,0.3659841241464754,0.009593264505902269,-3.5134497215133758,0.0024998704196073735
2.4586898633004e6,6.05712,1.560674,HARPS_POST,41.59807150235129,4.590628880859216,8.216198327356691,0.008292853625293604,0.37319176741466703,0.009003991798540114,-3.506112515576251,0.0024998704196073735
